Arrondissement,Commerces,Culture,Enseignement,Environnement,Qualité de vie,Santé,Sports et loisirs,Sécurité,Transports,Etiquette_GES,Etiquette_DPE,nombre_de_bars,nombre_de_club,Valeur fonciere,Surface reelle bati,Nombre pieces principales,Adresse,prix_m2,Appartement,Maison,lat,long
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,480000.0,29.0,2.0,217 RUE SAINT-HONORE 75001,16551.72,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1850000.0,112.0,4.0,189 RUE SAINT-HONORE 75001,16517.86,1,0,48.864594,2.332456
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1073350.0,65.0,3.0,12 RUE SAINT GERMAIN L AUXERROIS 75001,16513.08,1,0,48.858312,2.344874
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,445500.0,27.0,1.0,46 RUE DE RICHELIEU 75001,16500.0,1,0,48.866081,2.337155
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,346500.0,21.0,1.0,10 RUE CROIX DES PETITS CHAMPS 75001,16500.0,1,0,48.862779,2.33957
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1300000.0,79.0,3.0,206 RUE DE RIVOLI 75001,16455.7,1,0,48.864398,2.330545
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,246500.0,15.0,1.0,6 RUE DES MOULINS 75001,16433.33,1,0,48.866639,2.335064
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2800000.0,171.0,6.0,108 RUE SAINT-HONORE 75001,16374.27,1,0,48.861622,2.341853
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1047600.0,64.0,3.0,152 RUE SAINT-HONORE 75001,16368.75,1,0,48.862004,2.340212
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1964250.0,120.0,4.0,196 RUE DE RIVOLI 75001,16368.75,1,0,48.864192,2.331192
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,735000.0,45.0,2.0,34 RUE CROIX DES PETITS CHAMPS 75001,16333.33,1,0,48.864201,2.340273
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1140000.0,70.0,4.0,15 RUE MONTMARTRE 75001,16285.71,1,0,48.864429,2.345192
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1292550.0,80.0,4.0,23 RUE D ARGENTEUIL 75001,16156.88,1,0,48.86606,2.333316
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,630000.0,39.0,2.0,312 RUE SAINT-HONORE 75001,16153.85,1,0,48.865227,2.3315
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1565000.0,97.0,4.0,6 RUE DU MONT-THABOR 75001,16134.02,1,0,48.865544,2.329258
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1060000.0,66.0,2.0,217 RUE SAINT-HONORE 75001,16060.61,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,623000.0,39.0,2.0,7 RUE DES PETITS CHAMPS 75001,15974.36,1,0,48.866241,2.338819
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1402267.0,88.0,4.0,11 RUE DE LA SOURDIERE 75001,15934.85,1,0,48.865728,2.332003
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2146720.0,135.0,4.0,108 RUE SAINT-HONORE 75001,15901.63,1,0,48.861622,2.341853
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,821800.0,52.0,3.0,14 RUE DE TURBIGO 75001,15803.85,1,0,48.863685,2.348719
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1260000.0,80.0,3.0,15 RUE MOLIERE 75001,15750.0,1,0,48.865179,2.335991
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,740000.0,47.0,2.0,11 RUE BERTIN POIREE 75001,15744.68,1,0,48.858851,2.344776
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2439231.0,156.0,5.0,8 RUE DU VINGT-NEUF JUILLET 75001,15636.1,1,0,48.865175,2.330704
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1500000.0,96.0,3.0,51 RUE JEAN JACQUES ROUSSEAU 75001,15625.0,1,0,48.863855,2.342946
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2656000.0,170.0,6.0,27 RUE JEAN JACQUES ROUSSEAU 75001,15623.53,1,0,48.862936,2.34122
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1168100.0,75.0,3.0,46 RUE DES LOMBARDS 75001,15574.67,1,0,48.859711,2.348398
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,200000.0,13.0,1.0,23 RUE DU ROULE 75001,15384.62,1,0,48.861098,2.343862
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,600000.0,39.0,2.0,29 RUE DU PONT NEUF 75001,15384.62,1,0,48.860934,2.344622
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,661000.0,43.0,3.0,1 RUE DES PYRAMIDES 75001,15372.09,1,0,48.864276,2.332325
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1150000.0,75.0,3.0,5 RUE DU VINGT-NEUF JUILLET 75001,15333.33,1,0,48.864982,2.330405
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,460000.0,30.0,2.0,217 RUE SAINT-HONORE 75001,15333.33,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,796000.0,52.0,3.0,34 RUE SAINTE-ANNE 75001,15307.69,1,0,48.866686,2.335804
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1413333.0,93.0,3.0,233 RUE SAINT-HONORE 75001,15197.13,1,0,48.866312,2.328993
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,2670162.0,176.0,6.0,217 RUE SAINT-HONORE 75001,15171.38,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1061772.0,70.0,4.0,217 RUE SAINT-HONORE 75001,15168.17,1,0,48.865575,2.33049
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1365000.0,90.0,3.0,10 RUE HEROLD 75001,15166.67,1,0,48.864822,2.341482
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1680080.0,111.0,4.0,123 RUE SAINT-HONORE 75001,15135.86,1,0,48.861513,2.341788
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1482000.0,98.0,2.0,99 RUE SAINT-HONORE 75001,15122.45,1,0,48.861308,2.343022
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,982000.0,65.0,3.0,5 RUE D ALGER 75001,15107.69,1,0,48.865213,2.329623
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1054900.0,70.0,3.0,2 RUE DE L AMIRAL DE COLIGNY 75001,15070.0,1,0,48.85924,2.340201
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,1606050.0,107.0,3.0,25 RUE DE LA SOURDIERE 75001,15009.81,1,0,48.866566,2.332608
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,300000.0,20.0,2.0,31 RUE DE RICHELIEU 75001,15000.0,1,0,48.865193,2.336519
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,300000.0,20.0,1.0,10 RUE JEAN JACQUES ROUSSEAU 75001,15000.0,1,0,48.862322,2.340267
75001,8.25,8.58,6.17,4.5,6.33,6.5,6.0,5.25,9.33,3.145,5.282,8,2.0,225000.0,15.0,1.0,24 RUE DU PONT NEUF 75001,15000.0,1,0,48.860888,2.344922
